,satisfaction
0,0
1,0
2,1
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,1
26,1
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,1
81,1
82,0
83,0
84,0
85,1
86,0
87,1
88,0
89,0
90,1
91,0
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,0
100,0
101,1
102,1
103,1
104,0
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,0
160,0
161,1
162,1
163,1
164,0
165,0
166,1
167,1
168,1
169,1
170,1
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,1
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,1
193,0
194,1
195,1
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,1
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,0
232,1
233,1
234,0
235,1
236,1
237,1
238,0
239,1
240,1
241,0
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,1
258,1
259,0
260,0
261,1
262,0
263,1
264,1
265,1
266,1
267,0
268,0
269,0
270,1
271,1
272,1
273,1
274,1
275,0
276,0
277,0
278,1
279,0
280,1
281,0
282,0
283,0
284,1
285,1
286,0
287,1
288,0
289,0
290,1
291,1
292,1
293,0
294,0
295,1
296,0
297,1
298,1
299,0
300,1
301,1
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,1
311,1
312,0
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,0
321,0
322,1
323,1
324,1
325,0
326,0
327,1
328,0
329,1
330,0
331,1
332,0
333,0
334,0
335,0
336,0
337,1
338,1
339,0
340,0
341,0
342,1
343,0
344,0
345,1
346,0
347,0
348,0
349,0
350,1
351,0
352,0
353,1
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,0
385,1
386,0
387,1
388,0
389,1
390,0
391,0
392,1
393,0
394,0
395,0
396,0
397,1
398,1
399,0
400,0
401,0
402,0
403,1
404,1
405,0
406,1
407,0
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,1
416,1
417,1
418,1
419,0
420,1
421,0
422,0
423,1
424,1
425,0
426,1
427,0
428,1
429,0
430,1
431,0
432,1
433,1
434,0
435,0
436,0
437,0
438,1
439,1
440,0
441,0
442,1
443,0
444,1
445,0
446,1
447,1
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,0
456,1
457,0
458,0
459,1
460,1
461,1
462,1
463,0
464,0
465,0
466,0
467,1
468,0
469,1
470,1
471,0
472,1
473,1
474,1
475,0
476,0
477,1
478,0
479,0
480,0
481,1
482,1
483,1
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,0
493,0
494,1
495,1
496,1
497,1
498,0
499,1
500,0
501,1
502,0
503,0
504,0
505,0
506,1
507,1
508,0
509,0
510,1
511,1
512,1
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,1
522,0
523,1
524,1
525,1
526,0
527,1
528,1
529,0
530,0
531,0
